연도,대회명,라운드,날짜,상대팀,선수명,선발/교체,출전시간,득점,도움,실점,MOM,경고,비고
2022,춘계대회,조별리그,2022-02-12,경일대,이산,교체,33,,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,조승택,선발,95,,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,장재혁,교체,33,,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,조준현,교체,7,,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,김현민,교체,11,,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,김경민,선발,62,2,,,,,
2022,춘계대회,조별리그,2022-02-12,경일대,김장우,교체,17,1,,,,,
2022,춘계대회,조별리그,2022-02-14,대신대,이산,교체,29,,,,,,
2022,춘계대회,조별리그,2022-02-14,대신대,조승택,선발,78,,,,,,
2022,춘계대회,조별리그,2022-02-14,대신대,김경민,교체,29,,,,,,
2022,춘계대회,조별리그,2022-02-14,대신대,김승호,교체,10,,,,,,
2022,춘계대회,조별리그,2022-02-14,대신대,김장우,교체,29,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,조승택,선발,93,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,장재혁,선발,93,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,조준현,선발,93,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,김현민,교체,38,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,김경민,선발,62,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,백승민,교체,48,,,,,,
2022,춘계대회,조별리그,2022-02-16,칼빈대,김승호,선발,93,,,,,,
